POI,CSA,Optus CVC,NBN CVC,OON,ORD VNNI,ORD CVC,NNI Link ID,V-NNI ID,V Link Circuit ID,S-TAG Ranges,Bandwidth (Mbps)
"3KGP - KINGS PARK, VIC",CSA300000000468,CVC000000599899,CVC000000752177,2214888,ORD010110974638,ORD010113642960,NNL000000060029,NNI000000491473,VLK00000483,71-90,200
"3BRA - BALLARAT, VIC",CSA300000010042,CVC000000600087,CVC000000752183,2214889,ORD010108408998,ORD010113642994,NNL000000059514,NNI000000490591,VLK00000481,61-80,300
"3TMN - TULLAMARINE, VIC",CSA300000010882,CVC000000600002,CVC000000752196,2214891,ORD010110975040,ORD010113643208,NNL000000060038,NNI000000491487,VLK00000492,51-70,600
"3KEW - KEW, VIC",CSA300000000459,CVC000000600601,CVC000000752203,2214893,ORD010110945653,ORD010113643470,NNL000000059885,NNI000000491313,VLK00000487,71-90,500
"3MEB - PORT MELBOURNE, VIC",CSA300000001055,CVC000000601116,CVC000000752219,2214894,ORD010110969597,ORD010113643573,NNL000000059902,NNI000000491384,VLK00000485,71-90,500
"8DRW - DARWIN, NT",CSA800000000257,CVC000000600714,CVC000000752226,2214895,ORD010110977078,ORD010113643811,NNL000000060103,NNI000000491537,VLK00000488,91-110,200
"3CAU - CAULFIELD, VIC",CSA300000000170,CVC000000600025,CVC000000752235,2214896,ORD010110447255,ORD010113644024,NNL000000059726,NNI000000490982,VLK00000489,71-90,300
"5ADB - GREENFIELDS DEPOT, SA",CSA500000001059,CVC000000600278,CVC000000752242,2214898,ORD010110934480,ORD010113644228,NNL000000059761,NNI000000491186,VLK00000498,71-90,300
"3TNB - THORNBURY, VIC",CSA300000010862,CVC000000600221,CVC000000752261,2214899,ORD010110938630,ORD010113646937,NNL000000059859,NNI000000491281,VLK00000503,71-90,300
"3GEE - GEELONG, VIC",CSA300000000339,CVC000000603488,CVC000000752274,2214900,ORD010110976796,ORD010113647156,NNL000000060310,NNI000000491528,VLK00000570,71-90,300
"3CBN - CRANBOURNE, VIC",CSA300000010232,CVC000000600463,CVC000000752290,2214901,ORD010110067531,ORD010113647796,NNL000000059719,NNI000000490897,VLK00000490,81-100,300
